Plant Code,Utility Name,Plant Name,State,Latitude,Longitude,BA Code,BA Name,Fuel Type,Prime Mover,Net Generation (MWh)
1364,Louisville Gas & Electric Co,Mill Creek (KY),KY,38.0525,-85.9103,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,BIT,ST,15037062.44
1364,Louisville Gas & Electric Co,Mill Creek (KY),KY,38.0525,-85.9103,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,ST,44067.52399999999
1364,Louisville Gas & Electric Co,Mill Creek (KY),KY,38.0525,-85.9103,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,RC,ST,0.0
1365,Louisville Gas & Electric Co,Ohio Falls,KY,38.2832,-85.7792,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,WAT,HY,543932.0
1366,Louisville Gas & Electric Co,Paddys Run,KY,38.223592,-85.841704,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,NG,GT,54202.0
1367,Louisville Gas & Electric Co,Waterside GT,KY,38.258333,-85.754166,,,,,
1368,Louisville Gas & Electric Co,Zorn,KY,38.280278,-85.702331,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,,,
1371,USCE-Nashville District,Barkley,KY,37.0217,-88.2211,TVA,Tennessee Valley Authority,WAT,HY,1000962.0
1376,City of Paris - (KY),Paris (KY),KY,38.2049,-84.2383,LGEE,Louisville Gas and Electric Company and Kentucky Utilities Company,DFO,IC,674.24
1377,Tennessee Valley Authority,Kentucky Dam,KY,37.0131,-88.2692,TVA,Tennessee Valley Authority,WAT,HY,2373866.0
1378,Tennessee Valley Authority,Paradise,KY,37.2608,-86.9783,TVA,Tennessee Valley Authority,BIT,CT,0.0
1378,Tennessee Valley Authority,Paradise,KY,37.2608,-86.9783,TVA,Tennessee Valley Authority,NG,CA,5034030.0
1378,Tennessee Valley Authority,Paradise,KY,37.2608,-86.9783,TVA,Tennessee Valley Authority,NG,CT,8674352.0
1378,Tennessee Valley Authority,Paradise,KY,37.2608,-86.9783,TVA,Tennessee Valley Authority,NG,GT,0.0
1379,Tennessee Valley Authority,Shawnee,KY,37.1517,-88.775,TVA,Tennessee Valley Authority,BIT,ST,44093.058
1379,Tennessee Valley Authority,Shawnee,KY,37.1517,-88.775,TVA,Tennessee Valley Authority,DFO,ST,19627.201999999997
1379,Tennessee Valley Authority,Shawnee,KY,37.1517,-88.775,TVA,Tennessee Valley Authority,SUB,ST,9382215.760000002
1380,USCE-Nashville District,Wolf Creek,KY,36.8691,-85.147,TVA,Tennessee Valley Authority,WAT,HY,940962.0
1381,Big Rivers Electric Corp,Kenneth C Coleman,KY,37.9631,-86.7911,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1382,Big Rivers Electric Corp,HMP&L Station Two Henderson,KY,37.6469,-87.5028,MISO,"Midcontinent Independent Transmission System Operator, Inc..",,,
1383,Big Rivers Electric Corp,Robert A Reid,KY,37.6461,-87.5019,MISO,"Midcontinent Independent Transmission System Operator, Inc..",BIT,ST,0.0
1383,Big Rivers Electric Corp,Robert A Reid,KY,37.6461,-87.5019,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,GT,0.0
1383,Big Rivers Electric Corp,Robert A Reid,KY,37.6461,-87.5019,MISO,"Midcontinent Independent Transmission System Operator, Inc..",DFO,ST,0.0
1383,Big Rivers Electric Corp,Robert A Reid,KY,37.6461,-87.5019,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,GT,12276.0
1383,Big Rivers Electric Corp,Robert A Reid,KY,37.6461,-87.5019,MISO,"Midcontinent Independent Transmission System Operator, Inc..",NG,ST,0.0
1384,"East Kentucky Power Coop, Inc",Cooper,KY,36.9981,-84.5919,PJM,"PJM Interconnection, LLC",BIT,ST,953572.084
1384,"East Kentucky Power Coop, Inc",Cooper,KY,36.9981,-84.5919,PJM,"PJM Interconnection, LLC",DFO,ST,1369.912
1385,"East Kentucky Power Coop, Inc",Dale,KY,37.8806,-84.2619,PJM,"PJM Interconnection, LLC",,,
1553,"Constellation Power Source Generation, LLC",Gould Street,MD,39.2663,-76.6047,PJM,"PJM Interconnection, LLC",,,
